DSSTox_RID	DSSTox_CID	DSSTox_Generic_SID	DSSTox_FileID	STRUCTURE_Formula	STRUCTURE_MolecularWeight	STRUCTURE_ChemicalType	STRUCTURE_TestedForm_DefinedOrganic	STRUCTURE_Shown	TestSubstance_ChemicalName	TestSubstance_CASRN	TestSubstance_Description	ChemicalNote	STRUCTURE_ChemicalName_IUPAC	STRUCTURE_SMILES	STRUCTURE_Parent_SMILES	STRUCTURE_InChI	STRUCTURE_InChIKey	StudyType	Endpoint	Species	ChemicalReplicateCount	ChemClass_MRDD_grouping	TherapeuticCategory	Dose_MRDD_mg	Dose_MRDD_mmol	LOGINV_MRDD_mmol	ActivityScore_FDAMDD	ActivityCategory_MRDD_mmol	ActivityCategory_MCASE_mg	Note_FDAMDD			
22540	2540	22540	1_FDAMDD_v3b	C21H18ClNO6	415.82372	defined organic	parent	tested chemical	Acemetacin	53164-05-9	single chemical compound	blank	[({1-[(4-chlorophenyl)carbonyl]-2-methyl-5-(methyloxy)-1H-indol-3-yl}acetyl)oxy]acetic acid	C1=C(OC)C=C3C(=C1)N(C(=O)C2=CC=C(Cl)C=C2)C(C)=C3CC(=O)OCC(O)=O	C1=C(OC)C=C3C(=C1)N(C(=O)C2=CC=C(Cl)C=C2)C(C)=C3CC(=O)OCC(O)=O	"InChI=1/C21H18ClNO6/c1-12-16(10-20(26)29-11-19(24)25)17-9-15(28-2)7-8-18(17)23(12)21(27)13-3-5-14(22)6-4-13/h3-9H,10-11H2,1-2H3,(H,24,25)/f/h24H"	FSQKKOOTNAMONP-LQFNOIFHCH	Clinical Reports 	Maximum Recommended Daily Dose	human	1	blank	anti inflammatory	3	0.007214596	2.141788005	35	Moderate	Moderate	form of drug administered not known			
22541	2541	22541	2_FDAMDD_v3b	C19H15NO6	353.3255	defined organic	parent	tested chemical	Acenocoumarol	152-72-7	single chemical compound		4-hydroxy-3-[1-(4-nitrophenyl)-3-oxobutyl]-2H-chromen-2-one	C1=CC=C3C(=C1)OC(=O)C(C(CC(C)=O)C2=CC=C(N(=O)=O)C=C2)=C3O	C1=CC=C3C(=C1)OC(=O)C(C(CC(C)=O)C2=CC=C(N(=O)=O)C=C2)=C3O	"InChI=1/C19H15NO6/c1-11(21)10-15(12-6-8-13(9-7-12)20(24)25)17-18(22)14-4-2-3-5-16(14)26-19(17)23/h2-9,15,22H,10H2,1H3"	VABCILAOYCMVPS-UHFFFAOYAI	Clinical Reports 	Maximum Recommended Daily Dose	human	1		anticoagulant	0.2	0.00056605	3.247144987	48	High-Moderate	High	form of drug administered not known			
22542	6	20006	3_FDAMDD_v3b	C8H9NO2	151.1626	defined organic	parent	tested chemical	Acetaminophen	103-90-2	single chemical compound		N-(4-hydroxyphenyl)acetamide	C1(=CC=C(C=C1)O)NC(C)=O	C1(=CC=C(C=C1)O)NC(C)=O	"InChI=1/C8H9NO2/c1-6(10)9-7-2-4-8(11)5-3-7/h2-5,11H,1H3,(H,9,10)/f/h9H"	RZVAJINKPMORJF-BGGKNDAXCW	Clinical Reports 	Maximum Recommended Daily Dose	human	1		analgesic; antipyretic	50	0.330769648	0.480474349	17	Low	Low	form of drug administered not known			
22543	2543	22543	4_FDAMDD_v3b	C8H9NO	135.1632	defined organic	parent	tested chemical	Acetanilide	103-84-4	single chemical compound		N-phenylacetamide	C1=CC=CC=C1NC(C)=O	C1=CC=CC=C1NC(C)=O	"InChI=1/C8H9NO/c1-7(10)9-8-5-3-2-4-6-8/h2-6H,1H3,(H,9,10)/f/h9H"	FZERHIULMFGESH-BGGKNDAXCW	Clinical Reports 	Maximum Recommended Daily Dose	human	1		antipyretic; analgesic	5	0.036992317	1.431888461	27	Low-Moderate	Low	form of drug administered not known			
22544	2544	22544	5_FDAMDD_v3b	C4H6N4O3S2	222.24544	defined organic	parent	tested chemical	Acetazolamide	59-66-5	single chemical compound		"N-[5-(aminosulfonyl)-1,3,4-thiadiazol-2-yl]acetamide"	N1N=C(S(N)(=O)=O)SC=1NC(C)=O	N1N=C(S(N)(=O)=O)SC=1NC(C)=O	"InChI=1/C4H6N4O3S2/c1-2(9)6-3-7-8-4(12-3)13(5,10)11/h1H3,(H2,5,10,11)(H,6,7,9)/f/h6H,5H2"	BZKPWHYZMXOIDC-WQDBGGICCO	Clinical Reports 	Maximum Recommended Daily Dose	human	1		carbonic anhydrase inhibitor; diuretic	16.7	0.075142149	1.124116388	24	Low	Low	form of drug administered not known; Na salt [1424-27-7]			
22545	7	20007	6_FDAMDD_v3b	C15H20N2O4S	324.3953	defined organic	parent	tested chemical	Acetohexamide	968-81-0	single chemical compound		4-acetyl-N-[(cyclohexylamino)carbonyl]benzenesulfonamide	O=S(=O)(C1=CC=C(C=C1)C(=O)C)NC(=O)NC2CCCCC2	O=S(=O)(C1=CC=C(C=C1)C(=O)C)NC(=O)NC2CCCCC2	"InChI=1/C15H20N2O4S/c1-11(18)12-7-9-14(10-8-12)22(20,21)17-15(19)16-13-5-3-2-4-6-13/h7-10,13H,2-6H2,1H3,(H2,16,17,19)/f/h16-17H"	VGZSUPCWNCWDAN-XQMQJMAZCC	Clinical Reports 	Maximum Recommended Daily Dose	human	1		antidiabetic	25	0.077066468	1.113134545	24	Low	Low	form of drug administered not known			
22546	2546	22546	7_FDAMDD_v3b	C2H5NO2	75.0666	defined organic	parent	tested chemical	Acetohydroxamic acid	546-88-3	single chemical compound		N-hydroxyacetamide	CC(=O)NO	CC(=O)NO	"InChI=1/C2H5NO2/c1-2(4)3-5/h5H,1H3,(H,3,4)/f/h3H"	RRUDCFGSUDOHDG-TULZNQERCP	Clinical Reports 	Maximum Recommended Daily Dose	human	1		antiurolithic; antibacterial adjunct	16.7	0.222469114	0.652730275	18	Low	Low	form of drug administered not known			
22547	2547	22547	8_FDAMDD_v3b	C23H29N3O2S	411.56026	defined organic	parent	tested chemical	Acetophenazine	2751-68-0	single chemical compound		1-(10-{3-[4-(2-hydroxyethyl)piperazin-1-yl]propyl}-10H-phenothiazin-2-yl)ethanone	C1=CC=C3C(=C1)N(CCCN2CCN(CCO)CC2)C4=C(S3)C=CC(C(C)=O)=C4	C1=CC=C3C(=C1)N(CCCN2CCN(CCO)CC2)C4=C(S3)C=CC(C(C)=O)=C4	"InChI=1/C23H29N3O2S/c1-18(28)19-7-8-23-21(17-19)26(20-5-2-3-6-22(20)29-23)10-4-9-24-11-13-25(14-12-24)15-16-27/h2-3,5-8,17,27H,4,9-16H2,1H3"	WNTYBHLDCKXEOT-UHFFFAOYAD	Clinical Reports 	Maximum Recommended Daily Dose	human	1		antipsychotic	10	0.024297778	1.614433433	29	Low-Moderate	Low	form of drug administered not known			
22548	2548	22548	9_FDAMDD_v3b	C14H14N3NaO5S2	391.39783	defined organic	salt Na	tested chemical	Acetosulfone	128-12-1	single chemical compound		sodium acetyl({5-amino-2-[(4-aminophenyl)sulfonyl]phenyl}sulfonyl)azanide	[Na+].O=S(=O)([N-]C(C)=O)c1cc(N)ccc1S(=O)(=O)c2ccc(N)cc2	O=S(=O)(NC(C)=O)c1cc(N)ccc1S(=O)(=O)c2ccc(N)cc2	"InChI=1/C14H15N3O5S2.Na/c1-9(18)17-24(21,22)14-8-11(16)4-7-13(14)23(19,20)12-5-2-10(15)3-6-12;/h2-8H,15-16H2,1H3,(H,17,18);/q;+1/p-1/fC14H14N3O5S2.Na/q-1;m"	PVGBHEUCHKGFQP-AJGVBKPGCQ	Clinical Reports 	Maximum Recommended Daily Dose	human	1		antibacterial	66.7	0.170414844	0.76849258	20	Low	Low	form of drug administered not known			
22549	2549	22549	10_FDAMDD_v3b	C9H6I3NO3	556.86225	defined organic	parent	tested chemical	Acetrizoic acid	85-36-9	single chemical compound		"3-(acetylamino)-2,4,6-triiodobenzoic acid"	C1(I)=CC(I)=C(NC(C)=O)C(I)=C1C(O)=O	C1(I)=CC(I)=C(NC(C)=O)C(I)=C1C(O)=O	"InChI=1/C9H6I3NO3/c1-3(14)13-8-5(11)2-4(10)6(7(8)12)9(15)16/h2H,1H3,(H,13,14)(H,15,16)/f/h13,15H"	GNOGSFBXBWBTIG-YENFCIRVCA	Clinical Reports 	Maximum Recommended Daily Dose	human	1		diagnostic aid	100	0.179577624	0.745747778	19	Low	Low	form of drug administered not known			
